Date, Open, High, Low, Close
12/31/91, 417.09, 418.32, 412.73, 417.09
12/30/91, 415.14, 415.14, 406.46, 415.14
12/27/91, 406.46, 406.58, 404.59, 406.46
12/26/91, 404.84, 404.92, 399.31, 404.84
12/24/91, 399.33, 401.79, 396.82, 399.33
12/23/91, 396.82, 397.44, 386.96, 396.82
12/20/91, 387.04, 388.24, 382.52, 387.04
12/19/91, 382.52, 383.48, 380.64, 382.52
12/18/91, 383.48, 383.51, 380.88, 383.48
12/17/91, 382.74, 385.05, 382.60, 382.74
12/16/91, 384.46, 385.84, 384.37, 384.46
12/13/91, 384.47, 385.04, 381.55, 384.47
12/12/91, 381.55, 381.62, 377.70, 381.55
12/11/91, 377.70, 379.42, 374.78, 377.70
12/10/91, 377.90, 379.57, 376.64, 377.90
12/09/91, 378.26, 381.42, 377.67, 378.26
12/06/91, 379.09, 382.39, 375.41, 379.09
12/05/91, 377.40, 380.07, 376.58, 377.40
12/04/91, 380.07, 381.51, 378.07, 380.07
12/03/91, 380.96, 381.48, 379.92, 380.96
12/02/91, 381.40, 381.40, 371.36, 381.40
11/29/91, 375.22, 376.55, 374.65, 375.22
11/27/91, 376.55, 378.11, 375.98, 376.55
11/26/91, 377.96, 378.29, 371.63, 377.96
11/25/91, 375.34, 377.07, 373.96, 375.34
11/22/91, 376.14, 380.06, 374.52, 376.14
11/21/91, 380.06, 381.12, 377.41, 380.06
11/20/91, 378.53, 381.51, 377.84, 378.53
11/19/91, 379.42, 385.24, 374.90, 379.42
11/18/91, 385.24, 385.40, 379.69, 385.24
11/15/91, 382.62, 397.16, 382.62, 382.62
11/14/91, 397.15, 398.22, 395.85, 397.15
11/13/91, 397.41, 397.42, 394.01, 397.41
11/12/91, 396.74, 397.13, 393.12, 396.74
11/11/91, 393.12, 393.57, 392.32, 393.12
11/08/91, 392.89, 396.43, 392.42, 392.89
11/07/91, 393.72, 393.72, 389.97, 393.72
11/06/91, 389.97, 389.97, 387.58, 389.97
11/05/91, 388.71, 392.17, 388.19, 388.71
11/04/91, 390.28, 391.32, 388.09, 390.28
11/01/91, 391.32, 395.10, 389.67, 391.32
10/31/91, 392.46, 392.96, 391.58, 392.46
10/30/91, 392.96, 393.11, 390.78, 392.96
10/29/91, 391.48, 391.70, 386.88, 391.48
10/28/91, 389.52, 389.52, 384.20, 389.52
10/25/91, 384.20, 386.13, 382.97, 384.20
10/24/91, 385.07, 388.32, 383.45, 385.07
10/23/91, 387.94, 389.08, 386.52, 387.94
10/22/91, 387.83, 391.20, 387.40, 387.83
10/21/91, 390.02, 392.50, 388.96, 390.02
10/18/91, 392.50, 392.80, 391.77, 392.50
10/17/91, 391.92, 393.81, 390.32, 391.92
10/16/91, 392.80, 393.29, 390.14, 392.80
10/15/91, 391.01, 391.50, 385.95, 391.01
10/14/91, 386.47, 386.47, 381.45, 386.47
10/11/91, 381.45, 381.46, 379.90, 381.45
10/10/91, 380.55, 380.55, 376.11, 380.55
10/09/91, 376.80, 380.67, 376.35, 376.80
10/08/91, 380.67, 381.23, 379.18, 380.67
10/07/91, 379.50, 381.27, 379.07, 379.50
10/04/91, 381.24, 385.19, 381.24, 381.24
10/03/91, 384.47, 388.26, 384.47, 384.47
10/02/91, 388.26, 390.03, 387.62, 388.26
10/01/91, 389.20, 389.56, 387.86, 389.20
09/30/91, 387.86, 388.29, 384.32, 387.86
09/27/91, 385.90, 389.09, 384.87, 385.90
09/26/91, 386.49, 388.39, 385.30, 386.49
09/25/91, 386.88, 388.25, 385.99, 386.88
09/24/91, 387.71, 388.13, 384.46, 387.71
09/23/91, 385.92, 388.55, 385.76, 385.92
09/20/91, 387.92, 388.82, 386.49, 387.92
09/19/91, 387.56, 389.42, 386.27, 387.56
09/18/91, 386.94, 386.94, 384.28, 386.94
09/17/91, 385.50, 387.13, 384.97, 385.50
09/16/91, 385.78, 385.79, 382.77, 385.78
09/13/91, 383.59, 387.95, 382.85, 383.59
09/12/91, 387.34, 387.34, 385.09, 387.34
09/11/91, 385.09, 385.60, 383.59, 385.09
09/10/91, 384.56, 388.63, 383.78, 384.56
09/09/91, 388.57, 389.34, 387.88, 388.57
09/06/91, 389.10, 390.71, 387.36, 389.10
09/05/91, 389.14, 390.97, 388.49, 389.14
09/04/91, 389.97, 392.62, 388.68, 389.97
09/03/91, 392.15, 397.62, 392.10, 392.15
08/30/91, 395.43, 396.47, 393.60, 395.43
08/29/91, 396.47, 396.82, 395.14, 396.47
