Date, Open, High, Low, Close
12/31/08, 890.22, 910.32, 889.67, 903.25
12/30/08, 873.87, 891.12, 870.58, 890.64
12/29/08, 873.76, 873.76, 857.07, 869.42
12/26/08, 872.03, 873.74, 866.52, 872.80
12/24/08, 863.73, 869.79, 861.44, 868.15
12/23/08, 879.80, 880.44, 860.10, 863.16
12/22/08, 888.33, 887.37, 857.09, 871.63
12/19/08, 889.74, 905.47, 883.02, 887.88
12/18/08, 907.96, 911.02, 877.44, 885.28
12/17/08, 900.54, 918.85, 895.94, 904.42
12/16/08, 875.40, 914.66, 871.53, 913.18
12/15/08, 883.16, 884.63, 857.72, 868.57
12/12/08, 871.79, 883.24, 851.35, 879.73
12/11/08, 889.54, 904.63, 868.73, 873.59
12/10/08, 897.20, 908.27, 885.45, 899.24
12/09/08, 896.70, 916.26, 885.38, 888.67
12/08/08, 898.02, 918.57, 882.71, 909.70
12/05/08, 835.12, 879.42, 818.41, 876.07
12/04/08, 855.96, 875.60, 833.60, 845.22
12/03/08, 827.93, 873.12, 827.60, 870.74
12/02/08, 831.73, 850.54, 817.94, 848.81
12/01/08, 870.24, 888.61, 815.69, 816.21
11/28/08, 883.43, 896.25, 881.21, 896.24
11/26/08, 840.68, 887.68, 841.37, 887.68
11/25/08, 868.48, 868.94, 834.99, 857.39
11/24/08, 818.21, 865.60, 801.20, 851.81
11/21/08, 763.45, 801.20, 741.02, 800.03
11/20/08, 795.69, 820.52, 747.78, 752.44
11/19/08, 857.68, 864.57, 806.18, 806.58
11/18/08, 849.31, 865.90, 826.84, 859.12
11/17/08, 862.09, 882.29, 848.98, 850.75
11/14/08, 891.18, 916.88, 869.88, 873.29
11/13/08, 857.06, 913.01, 818.69, 911.29
11/12/08, 880.15, 893.39, 850.48, 852.30
11/11/08, 905.50, 917.15, 884.90, 898.95
11/10/08, 949.74, 951.95, 907.47, 919.21
11/07/08, 914.67, 931.46, 906.90, 930.99
11/06/08, 942.74, 952.40, 899.73, 904.88
11/05/08, 991.23, 1001.84, 949.86, 952.77
11/04/08, 988.88, 1007.51, 971.31, 1005.75
11/03/08, 968.24, 975.57, 958.82, 966.30
10/31/08, 952.83, 984.38, 944.59, 968.75
10/30/08, 958.09, 963.23, 928.50, 954.09
10/29/08, 937.26, 969.97, 922.26, 930.09
10/28/08, 873.12, 940.51, 845.27, 940.51
10/27/08, 860.23, 893.78, 846.75, 848.92
10/24/08, 852.85, 896.30, 852.85, 876.77
10/23/08, 904.11, 922.83, 858.44, 908.11
10/22/08, 931.62, 951.67, 875.81, 896.78
10/21/08, 971.04, 985.44, 952.47, 955.05
10/20/08, 954.92, 985.40, 943.51, 985.40
10/17/08, 922.71, 984.64, 918.74, 940.55
10/16/08, 912.04, 947.71, 865.83, 946.43
10/15/08, 975.22, 994.60, 903.99, 907.84
10/14/08, 1049.69, 1044.31, 972.07, 998.01
10/13/08, 944.62, 1006.93, 912.75, 1003.35
10/10/08, 866.33, 936.36, 839.80, 899.22
10/09/08, 998.22, 1005.25, 909.19, 909.92
10/08/08, 966.16, 1021.06, 970.97, 984.94
10/07/08, 1068.33, 1072.91, 996.23, 996.23
10/06/08, 1065.59, 1097.56, 1007.97, 1056.89
10/03/08, 1128.35, 1153.82, 1098.14, 1099.23
10/02/08, 1150.85, 1160.64, 1111.43, 1114.28
10/01/08, 1154.70, 1167.03, 1140.77, 1161.06
09/30/08, 1135.00, 1168.03, 1113.78, 1166.36
09/29/08, 1188.46, 1209.07, 1106.39, 1106.39
09/26/08, 1187.54, 1215.77, 1187.54, 1213.01
09/25/08, 1187.87, 1220.03, 1187.87, 1209.18
09/24/08, 1187.46, 1197.41, 1179.79, 1185.87
09/23/08, 1210.44, 1221.15, 1187.06, 1188.22
09/22/08, 1245.87, 1255.37, 1205.61, 1207.09
09/19/08, 1265.12, 1265.12, 1213.11, 1255.08
09/18/08, 1178.20, 1211.14, 1133.50, 1206.51
09/17/08, 1189.89, 1210.34, 1155.88, 1156.39
09/16/08, 1169.28, 1214.84, 1169.28, 1213.59
09/15/08, 1213.16, 1250.92, 1192.70, 1192.70
09/12/08, 1238.77, 1255.09, 1233.81, 1251.70
09/11/08, 1214.94, 1249.98, 1211.54, 1249.05
09/10/08, 1235.97, 1243.90, 1221.60, 1232.04
09/09/08, 1265.41, 1268.66, 1224.51, 1224.51
09/08/08, 1274.42, 1274.42, 1247.12, 1267.79
09/05/08, 1228.92, 1244.94, 1217.23, 1242.31
09/04/08, 1266.06, 1271.80, 1232.83, 1236.83
09/03/08, 1275.03, 1280.60, 1265.59, 1274.98
09/02/08, 1298.33, 1303.04, 1272.20, 1277.58
08/29/08, 1293.82, 1297.59, 1282.74, 1282.83
08/28/08, 1288.00, 1300.68, 1283.79, 1300.68
08/27/08, 1272.58, 1285.05, 1270.03, 1281.66
08/26/08, 1267.15, 1275.65, 1263.21, 1271.51
08/25/08, 1284.71, 1290.47, 1264.87, 1266.84
08/22/08, 1282.92, 1293.09, 1277.59, 1292.20
08/21/08, 1266.14, 1281.40, 1265.22, 1277.72
08/20/08, 1271.44, 1276.01, 1261.16, 1274.54
08/19/08, 1270.18, 1276.65, 1263.11, 1266.69
08/18/08, 1299.98, 1300.22, 1274.51, 1278.60
08/15/08, 1294.49, 1302.05, 1290.74, 1298.20
08/14/08, 1274.99, 1300.11, 1276.84, 1292.93
08/13/08, 1285.22, 1294.03, 1274.86, 1285.83
08/12/08, 1300.68, 1304.79, 1285.64, 1289.59
08/11/08, 1293.73, 1313.15, 1291.41, 1305.32
08/08/08, 1263.68, 1297.85, 1262.11, 1296.32
08/07/08, 1279.57, 1286.51, 1264.29, 1266.07
08/06/08, 1279.88, 1291.67, 1276.00, 1289.19
08/05/08, 1254.87, 1284.88, 1254.67, 1284.88
08/04/08, 1258.07, 1260.49, 1247.45, 1249.01
08/01/08, 1270.52, 1270.52, 1254.54, 1260.31
07/31/08, 1271.66, 1284.93, 1265.97, 1267.38
07/30/08, 1269.56, 1284.33, 1264.52, 1284.26
07/29/08, 1240.10, 1263.20, 1236.38, 1263.20
07/28/08, 1254.67, 1260.09, 1234.37, 1234.37
07/25/08, 1259.73, 1263.33, 1251.75, 1257.76
07/24/08, 1282.95, 1283.22, 1251.48, 1252.54
07/23/08, 1280.28, 1291.17, 1276.06, 1282.19
07/22/08, 1251.45, 1277.42, 1248.83, 1277.00
07/21/08, 1264.67, 1267.74, 1255.70, 1260.00
07/18/08, 1262.23, 1262.23, 1251.81, 1260.68
07/17/08, 1251.39, 1262.31, 1241.49, 1260.32
07/16/08, 1214.50, 1245.52, 1211.39, 1245.36
07/15/08, 1215.52, 1234.35, 1200.44, 1214.91
07/14/08, 1253.50, 1253.50, 1225.01, 1228.30
07/11/08, 1238.55, 1257.27, 1225.35, 1239.49
07/10/08, 1245.71, 1257.65, 1236.76, 1253.39
07/09/08, 1274.69, 1277.36, 1244.69, 1244.69
07/08/08, 1250.67, 1274.17, 1242.84, 1273.70
07/07/08, 1265.67, 1273.95, 1240.68, 1252.31
07/03/08, 1269.93, 1271.48, 1252.01, 1262.90
07/02/08, 1290.11, 1292.17, 1261.51, 1261.52
07/01/08, 1266.79, 1285.31, 1260.68, 1284.91
06/30/08, 1280.33, 1290.31, 1274.86, 1280.00
06/27/08, 1284.44, 1289.45, 1272.00, 1278.38
06/26/08, 1307.49, 1316.29, 1283.15, 1283.15
06/25/08, 1319.24, 1335.63, 1314.54, 1321.97
06/24/08, 1311.62, 1326.02, 1304.42, 1314.29
06/23/08, 1322.35, 1323.78, 1315.31, 1318.00
06/20/08, 1339.28, 1341.02, 1314.46, 1317.93
06/19/08, 1336.69, 1347.66, 1330.50, 1342.83
06/18/08, 1341.49, 1349.59, 1333.40, 1337.81
06/17/08, 1365.56, 1366.59, 1350.54, 1350.93
06/16/08, 1351.74, 1364.70, 1352.07, 1360.14
06/13/08, 1347.73, 1360.03, 1341.71, 1360.03
06/12/08, 1342.56, 1353.03, 1331.29, 1339.87
06/11/08, 1355.25, 1357.09, 1335.47, 1335.49
06/10/08, 1351.93, 1366.84, 1351.56, 1358.44
06/09/08, 1366.18, 1370.63, 1350.62, 1361.76
06/06/08, 1419.93, 1400.06, 1359.90, 1360.68
06/05/08, 1382.33, 1404.05, 1377.48, 1404.05
06/04/08, 1373.97, 1388.18, 1371.74, 1377.20
06/03/08, 1389.88, 1393.12, 1370.12, 1377.65
06/02/08, 1395.74, 1399.62, 1377.79, 1385.67
05/30/08, 1401.86, 1404.46, 1398.08, 1400.38
05/29/08, 1387.50, 1406.32, 1388.59, 1398.26
05/28/08, 1388.38, 1391.25, 1378.16, 1390.84
05/27/08, 1374.98, 1387.40, 1373.07, 1385.35
05/23/08, 1389.24, 1392.20, 1373.72, 1375.93
05/22/08, 1390.83, 1399.07, 1390.23, 1394.35
05/21/08, 1416.16, 1419.12, 1388.81, 1390.71
05/20/08, 1419.93, 1424.49, 1409.09, 1413.40
05/19/08, 1425.74, 1440.24, 1421.63, 1426.63
05/16/08, 1425.70, 1425.82, 1414.35, 1425.35
05/15/08, 1408.36, 1424.40, 1406.87, 1423.57
05/14/08, 1409.45, 1420.19, 1405.65, 1408.66
05/13/08, 1407.07, 1406.30, 1396.26, 1403.04
05/12/08, 1390.40, 1404.06, 1386.20, 1403.58
05/09/08, 1385.11, 1394.90, 1384.11, 1388.28
05/08/08, 1397.75, 1402.35, 1389.39, 1397.68
05/07/08, 1417.53, 1419.54, 1391.16, 1392.57
05/06/08, 1401.49, 1421.57, 1397.10, 1418.26
05/05/08, 1410.83, 1415.70, 1404.37, 1407.49
05/02/08, 1409.16, 1422.72, 1406.25, 1413.90
05/01/08, 1384.23, 1410.07, 1383.07, 1409.34
04/30/08, 1393.89, 1404.57, 1384.25, 1385.59
04/29/08, 1393.18, 1397.00, 1386.70, 1390.94
04/28/08, 1398.44, 1402.90, 1394.40, 1396.37
04/25/08, 1395.18, 1399.11, 1379.98, 1397.84
04/24/08, 1382.14, 1397.72, 1371.09, 1388.82
04/23/08, 1379.71, 1387.87, 1372.24, 1379.93
04/22/08, 1382.47, 1386.43, 1369.84, 1375.94
04/21/08, 1382.69, 1390.23, 1379.25, 1388.17
04/18/08, 1391.12, 1395.90, 1369.00, 1390.33
04/17/08, 1360.18, 1368.60, 1357.25, 1365.56
04/16/08, 1346.43, 1365.49, 1337.02, 1364.71
04/15/08, 1337.59, 1337.72, 1324.35, 1334.43
04/14/08, 1331.83, 1335.64, 1326.16, 1328.32
04/11/08, 1343.58, 1357.98, 1331.21, 1332.83
04/10/08, 1355.21, 1367.24, 1350.11, 1360.55
04/09/08, 1365.43, 1368.39, 1349.97, 1354.49
04/08/08, 1362.61, 1370.16, 1360.62, 1365.54
04/07/08, 1381.19, 1386.74, 1369.02, 1372.54
04/04/08, 1370.56, 1380.91, 1362.83, 1370.40
04/03/08, 1359.71, 1375.66, 1358.68, 1369.31
04/02/08, 1373.15, 1377.95, 1361.55, 1367.53
04/01/08, 1340.94, 1370.18, 1326.41, 1370.18
03/31/08, 1314.42, 1328.52, 1312.81, 1322.70
03/28/08, 1327.02, 1334.87, 1312.95, 1315.22
03/27/08, 1345.62, 1345.62, 1325.66, 1325.76
03/26/08, 1343.93, 1352.45, 1336.41, 1341.13
03/25/08, 1351.42, 1357.47, 1341.21, 1352.99
03/24/08, 1333.66, 1359.68, 1330.29, 1349.88
03/20/08, 1299.67, 1330.67, 1295.22, 1329.51
03/19/08, 1334.63, 1341.51, 1298.42, 1298.42
03/18/08, 1302.22, 1330.74, 1277.16, 1330.74
03/17/08, 1283.21, 1287.50, 1256.98, 1276.60
03/14/08, 1319.78, 1321.47, 1274.86, 1288.14
03/13/08, 1291.34, 1321.68, 1282.11, 1315.48
03/12/08, 1322.23, 1333.26, 1307.86, 1308.77
03/11/08, 1301.40, 1320.65, 1274.40, 1320.65
03/10/08, 1293.68, 1295.01, 1272.66, 1273.37
03/07/08, 1294.66, 1313.24, 1282.43, 1293.37
03/06/08, 1329.23, 1332.20, 1303.42, 1304.34
03/05/08, 1330.32, 1344.19, 1320.22, 1333.70
03/04/08, 1320.75, 1331.03, 1307.39, 1326.75
03/03/08, 1329.68, 1335.13, 1320.04, 1331.34
02/29/08, 1354.12, 1364.07, 1325.42, 1330.63
02/28/08, 1378.16, 1378.16, 1363.16, 1367.68
02/27/08, 1378.95, 1388.34, 1372.00, 1380.02
02/26/08, 1371.76, 1387.34, 1363.29, 1381.29
02/25/08, 1352.75, 1374.36, 1346.03, 1371.80
02/22/08, 1344.22, 1354.30, 1327.04, 1353.11
02/21/08, 1364.30, 1367.94, 1339.34, 1342.53
02/20/08, 1338.56, 1363.71, 1336.55, 1360.03
02/19/08, 1366.84, 1367.28, 1345.05, 1348.78
02/15/08, 1347.20, 1350.00, 1338.13, 1349.99
02/14/08, 1368.16, 1368.16, 1347.31, 1348.86
02/13/08, 1360.01, 1369.23, 1350.78, 1367.21
02/12/08, 1346.93, 1362.10, 1339.36, 1348.86
02/11/08, 1331.23, 1341.40, 1320.32, 1339.13
02/08/08, 1331.34, 1341.22, 1321.06, 1331.29
02/07/08, 1321.09, 1347.16, 1316.75, 1336.91
02/06/08, 1346.80, 1351.96, 1324.34, 1326.45
02/05/08, 1357.26, 1380.28, 1336.64, 1336.64
02/04/08, 1395.27, 1395.38, 1379.69, 1380.82
02/01/08, 1381.72, 1396.02, 1375.93, 1395.42
01/31/08, 1334.92, 1385.62, 1334.08, 1378.55
01/30/08, 1356.60, 1385.86, 1352.95, 1355.81
01/29/08, 1363.33, 1364.93, 1350.19, 1362.30
01/28/08, 1334.17, 1353.97, 1322.26, 1353.97
01/25/08, 1368.56, 1368.56, 1327.50, 1330.61
01/24/08, 1344.92, 1355.15, 1334.31, 1352.07
01/23/08, 1277.56, 1339.09, 1270.05, 1338.60
01/22/08, 1266.79, 1322.09, 1274.29, 1310.50
01/18/08, 1333.94, 1350.28, 1312.51, 1325.19
01/17/08, 1374.79, 1377.72, 1330.67, 1333.25
01/16/08, 1373.27, 1391.99, 1364.27, 1373.20
01/15/08, 1397.73, 1411.88, 1380.60, 1380.95
01/14/08, 1412.87, 1417.89, 1402.91, 1416.25
01/11/08, 1406.91, 1419.91, 1394.83, 1401.02
01/10/08, 1397.54, 1429.07, 1395.30, 1420.33
01/09/08, 1390.43, 1409.19, 1378.70, 1409.13
01/08/08, 1422.15, 1430.28, 1388.30, 1390.19
01/07/08, 1417.97, 1423.87, 1403.45, 1416.18
01/04/08, 1411.63, 1444.01, 1411.19, 1411.63
01/03/08, 1447.16, 1456.80, 1443.73, 1447.16
01/02/08, 1447.16, 1471.77, 1442.07, 1447.16
