Date, Open, High, Low, Close
12/31/01, 1148.08, 1161.16, 1148.04, 1148.08
12/28/01, 1161.02, 1164.64, 1157.13, 1161.02
12/27/01, 1157.13, 1157.13, 1149.37, 1157.13
12/26/01, 1149.37, 1159.18, 1144.65, 1149.37
12/24/01, 1144.65, 1147.83, 1144.62, 1144.65
12/21/01, 1144.89, 1147.83, 1139.93, 1144.89
12/20/01, 1139.93, 1151.42, 1139.93, 1139.93
12/19/01, 1149.56, 1152.44, 1134.75, 1149.56
12/18/01, 1142.92, 1145.10, 1134.36, 1142.92
12/17/01, 1134.36, 1137.36, 1122.34, 1134.36
12/14/01, 1123.09, 1128.28, 1114.50, 1123.09
12/13/01, 1119.38, 1137.07, 1117.85, 1119.38
12/12/01, 1137.07, 1141.58, 1126.01, 1137.07
12/11/01, 1136.76, 1150.89, 1134.32, 1136.76
12/10/01, 1139.93, 1158.31, 1139.66, 1139.93
12/07/01, 1158.31, 1167.10, 1152.66, 1158.31
12/06/01, 1167.10, 1173.35, 1164.43, 1167.10
12/05/01, 1170.35, 1173.62, 1143.77, 1170.35
12/04/01, 1144.80, 1144.80, 1128.86, 1144.80
12/03/01, 1129.90, 1139.45, 1125.78, 1129.90
11/30/01, 1139.45, 1143.57, 1135.89, 1139.45
11/29/01, 1140.20, 1140.40, 1125.51, 1140.20
11/28/01, 1128.52, 1149.50, 1128.29, 1128.52
11/27/01, 1149.50, 1163.38, 1140.81, 1149.50
11/26/01, 1157.42, 1157.88, 1146.17, 1157.42
11/23/01, 1150.34, 1151.05, 1135.90, 1150.34
11/21/01, 1137.03, 1142.66, 1129.78, 1137.03
11/20/01, 1142.66, 1152.45, 1142.17, 1142.66
11/19/01, 1151.06, 1151.06, 1138.65, 1151.06
11/16/01, 1138.65, 1143.52, 1129.92, 1138.65
11/15/01, 1142.24, 1146.46, 1135.06, 1142.24
11/14/01, 1141.21, 1148.28, 1132.87, 1141.21
11/13/01, 1139.09, 1139.14, 1118.33, 1139.09
11/12/01, 1118.33, 1121.71, 1098.32, 1118.33
11/09/01, 1120.31, 1123.02, 1111.13, 1120.31
11/08/01, 1118.54, 1135.75, 1115.42, 1118.54
11/07/01, 1115.80, 1126.62, 1112.98, 1115.80
11/06/01, 1118.86, 1119.73, 1095.36, 1118.86
11/05/01, 1102.84, 1106.72, 1087.20, 1102.84
11/02/01, 1087.20, 1089.63, 1075.58, 1087.20
11/01/01, 1084.10, 1085.61, 1054.31, 1084.10
10/31/01, 1059.78, 1074.79, 1057.55, 1059.78
10/30/01, 1059.79, 1078.30, 1053.61, 1059.79
10/29/01, 1078.30, 1104.61, 1078.30, 1078.30
10/26/01, 1104.61, 1110.61, 1094.24, 1104.61
10/25/01, 1100.09, 1100.09, 1065.64, 1100.09
10/24/01, 1085.20, 1090.26, 1079.98, 1085.20
10/23/01, 1084.78, 1098.99, 1081.53, 1084.78
10/22/01, 1089.90, 1090.57, 1070.32, 1089.90
10/19/01, 1073.48, 1075.52, 1057.24, 1073.48
10/18/01, 1068.61, 1077.94, 1064.54, 1068.61
10/17/01, 1077.09, 1107.12, 1076.57, 1077.09
10/16/01, 1097.55, 1101.66, 1087.13, 1097.55
10/15/01, 1089.98, 1091.65, 1078.19, 1089.98
10/12/01, 1091.65, 1097.43, 1072.15, 1091.65
10/11/01, 1097.43, 1099.16, 1080.99, 1097.43
10/10/01, 1080.99, 1081.62, 1052.70, 1080.99
10/09/01, 1056.75, 1063.37, 1053.83, 1056.75
10/08/01, 1062.44, 1071.37, 1056.88, 1062.44
10/05/01, 1071.38, 1072.35, 1053.50, 1071.38
10/04/01, 1069.63, 1084.12, 1067.82, 1069.63
10/03/01, 1072.28, 1075.38, 1041.48, 1072.28
10/02/01, 1051.33, 1051.33, 1034.47, 1051.33
10/01/01, 1038.55, 1040.94, 1026.76, 1038.55
09/28/01, 1040.94, 1040.94, 1018.61, 1040.94
09/27/01, 1018.61, 1018.92, 998.24, 1018.61
09/26/01, 1007.04, 1020.29, 1002.62, 1007.04
09/25/01, 1012.27, 1017.14, 998.33, 1012.27
09/24/01, 1003.45, 1008.44, 965.80, 1003.45
09/21/01, 965.80, 984.54, 944.75, 965.80
09/20/01, 984.54, 1016.10, 984.49, 984.54
09/19/01, 1016.10, 1038.91, 984.62, 1016.10
09/18/01, 1032.74, 1046.42, 1029.25, 1032.74
09/17/01, 1038.77, 1092.54, 1037.46, 1038.77
09/10/01, 1092.54, 1096.94, 1073.15, 1092.54
09/07/01, 1085.78, 1106.40, 1082.12, 1085.78
09/06/01, 1106.40, 1131.74, 1105.83, 1106.40
09/05/01, 1131.74, 1135.52, 1114.86, 1131.74
09/04/01, 1132.94, 1155.40, 1129.06, 1132.94
08/31/01, 1133.59, 1141.83, 1126.38, 1133.59
08/30/01, 1129.03, 1151.75, 1124.87, 1129.03
08/29/01, 1148.60, 1166.97, 1147.38, 1148.60
08/28/01, 1161.51, 1179.66, 1161.17, 1161.51
08/27/01, 1179.21, 1186.85, 1178.07, 1179.21
08/24/01, 1184.93, 1185.15, 1162.09, 1184.93
08/23/01, 1162.09, 1169.86, 1160.96, 1162.09
08/22/01, 1165.31, 1168.56, 1153.34, 1165.31
08/21/01, 1157.26, 1179.85, 1156.56, 1157.26
08/20/01, 1171.41, 1171.41, 1160.94, 1171.41
08/17/01, 1161.97, 1181.66, 1156.07, 1161.97
08/16/01, 1181.66, 1181.80, 1166.08, 1181.66
08/15/01, 1178.02, 1191.21, 1177.61, 1178.02
08/14/01, 1186.73, 1198.79, 1184.26, 1186.73
08/13/01, 1191.29, 1193.82, 1185.12, 1191.29
08/10/01, 1190.16, 1193.33, 1169.55, 1190.16
08/09/01, 1183.43, 1184.71, 1174.68, 1183.43
08/08/01, 1183.53, 1206.79, 1181.27, 1183.53
08/07/01, 1204.40, 1207.56, 1195.64, 1204.40
08/06/01, 1200.48, 1214.35, 1197.35, 1200.48
08/03/01, 1214.35, 1220.75, 1205.31, 1214.35
08/02/01, 1220.75, 1226.27, 1215.31, 1220.75
08/01/01, 1215.93, 1223.04, 1211.23, 1215.93
07/31/01, 1211.23, 1222.74, 1204.52, 1211.23
07/30/01, 1204.52, 1209.05, 1200.41, 1204.52
07/27/01, 1205.82, 1209.26, 1195.99, 1205.82
07/26/01, 1202.93, 1204.18, 1182.65, 1202.93
07/25/01, 1190.49, 1190.52, 1171.28, 1190.49
