Date, Open, High, Low, Close
12/31/86, 242.17, 244.03, 241.28, 242.17
12/30/86, 243.37, 244.62, 243.12, 243.37
12/29/86, 244.67, 246.92, 244.42, 244.67
12/26/86, 246.92, 246.92, 246.79, 246.92
12/24/86, 246.75, 247.13, 246.13, 246.75
12/23/86, 246.34, 248.72, 245.97, 246.34
12/22/86, 248.75, 249.63, 247.50, 248.75
12/19/86, 249.73, 249.85, 245.98, 249.73
12/18/86, 246.78, 247.78, 246.53, 246.78
12/17/86, 247.56, 249.94, 247.31, 247.56
12/16/86, 250.04, 250.04, 247.41, 250.04
12/15/86, 248.21, 248.21, 245.09, 248.21
12/12/86, 247.35, 248.22, 247.10, 247.35
12/11/86, 248.17, 250.92, 247.17, 248.17
12/10/86, 250.96, 251.46, 248.96, 250.96
12/09/86, 249.28, 251.16, 249.28, 249.28
12/08/86, 251.16, 252.28, 248.91, 251.16
12/05/86, 251.17, 253.79, 250.79, 251.17
12/04/86, 253.04, 254.41, 252.91, 253.04
12/03/86, 253.85, 254.85, 253.35, 253.85
12/02/86, 254.00, 254.00, 249.13, 254.00
12/01/86, 249.05, 249.18, 245.80, 249.05
11/28/86, 249.22, 249.22, 248.09, 249.22
11/26/86, 248.77, 248.90, 247.77, 248.77
11/25/86, 248.17, 248.17, 246.42, 248.17
11/24/86, 247.45, 247.95, 245.32, 247.45
11/21/86, 245.86, 246.36, 241.99, 245.86
11/20/86, 242.05, 242.05, 237.68, 242.05
11/19/86, 237.66, 237.91, 235.53, 237.66
11/18/86, 236.78, 243.16, 236.66, 236.78
11/17/86, 243.21, 244.71, 242.34, 243.21
11/14/86, 244.50, 244.50, 242.00, 244.50
11/13/86, 243.02, 246.65, 243.02, 243.02
11/12/86, 246.64, 247.64, 245.76, 246.64
11/11/86, 247.08, 247.08, 246.21, 247.08
11/10/86, 246.13, 246.13, 244.75, 246.13
11/07/86, 245.77, 246.02, 245.02, 245.77
11/06/86, 245.87, 246.87, 244.62, 245.87
11/05/86, 246.58, 246.96, 245.33, 246.58
11/04/86, 246.20, 246.32, 244.45, 246.20
11/03/86, 245.80, 245.80, 244.05, 245.80
10/31/86, 243.98, 244.48, 242.98, 243.98
10/30/86, 243.71, 243.96, 240.96, 243.71
10/29/86, 240.94, 240.94, 239.06, 240.94
10/28/86, 239.26, 240.51, 238.88, 239.26
10/27/86, 238.77, 238.77, 236.77, 238.77
10/24/86, 238.26, 239.63, 238.26, 238.26
10/23/86, 239.28, 239.66, 236.28, 239.28
10/22/86, 236.26, 236.63, 235.88, 236.26
10/21/86, 235.88, 236.38, 235.00, 235.88
10/20/86, 235.97, 238.72, 234.84, 235.97
10/17/86, 238.84, 239.47, 237.72, 238.84
10/16/86, 239.53, 240.16, 238.91, 239.53
10/15/86, 238.80, 238.93, 235.43, 238.80
10/14/86, 235.37, 236.37, 234.37, 235.37
10/13/86, 235.91, 235.91, 235.03, 235.91
10/10/86, 235.48, 236.23, 235.35, 235.48
10/09/86, 235.85, 238.10, 235.72, 235.85
10/08/86, 236.68, 236.81, 233.68, 236.68
10/07/86, 234.41, 235.16, 233.53, 234.41
10/06/86, 234.78, 235.28, 233.28, 234.78
10/03/86, 233.71, 236.09, 232.84, 233.71
10/02/86, 233.92, 234.29, 232.79, 233.92
10/01/86, 233.60, 234.60, 231.35, 233.60
09/30/86, 231.32, 232.94, 229.94, 231.32
09/29/86, 229.91, 232.16, 228.16, 229.91
09/26/86, 232.23, 233.60, 230.73, 232.23
09/25/86, 231.83, 236.21, 230.71, 231.83
09/24/86, 236.28, 237.03, 235.53, 236.28
09/23/86, 235.67, 235.79, 234.54, 235.67
09/22/86, 234.93, 234.93, 232.31, 234.93
09/19/86, 232.21, 232.21, 230.71, 232.21
09/18/86, 232.31, 232.81, 230.69, 232.31
09/17/86, 231.68, 233.81, 231.43, 231.68
09/16/86, 231.72, 231.84, 228.34, 231.72
09/15/86, 231.94, 232.81, 229.44, 231.94
09/12/86, 230.67, 235.42, 228.79, 230.67
09/11/86, 235.18, 247.06, 234.68, 235.18
09/10/86, 247.06, 247.69, 246.19, 247.06
09/09/86, 247.67, 250.17, 247.04, 247.67
09/08/86, 248.14, 250.39, 247.14, 248.14
09/05/86, 250.47, 254.09, 250.34, 250.47
09/04/86, 253.83, 253.96, 250.08, 253.83
09/03/86, 250.08, 250.08, 247.71, 250.08
09/02/86, 248.52, 253.27, 248.15, 248.52
08/29/86, 252.93, 254.06, 251.81, 252.93
08/28/86, 252.84, 253.59, 251.97, 252.84
08/27/86, 253.30, 254.18, 252.68, 253.30
08/26/86, 252.84, 252.84, 247.84, 252.84
08/25/86, 247.81, 250.19, 247.81, 247.81
08/22/86, 250.19, 250.56, 249.31, 250.19
08/21/86, 249.67, 250.42, 249.17, 249.67
08/20/86, 249.77, 249.77, 246.52, 249.77
08/19/86, 246.51, 247.38, 245.88, 246.51
08/18/86, 247.38, 247.75, 245.50, 247.38
08/15/86, 247.15, 247.15, 245.78, 247.15
08/14/86, 246.25, 246.75, 245.63, 246.25
08/13/86, 245.67, 246.42, 243.17, 245.67
08/12/86, 243.34, 243.34, 240.47, 243.34
08/11/86, 240.68, 241.18, 236.93, 240.68
08/08/86, 236.88, 238.00, 236.38, 236.88
08/07/86, 237.04, 237.91, 236.41, 237.04
08/06/86, 236.84, 237.34, 235.59, 236.84
08/05/86, 237.03, 238.28, 236.03, 237.03
08/04/86, 235.99, 236.00, 232.25, 235.99
08/01/86, 234.91, 236.53, 234.91, 234.91
07/31/86, 236.12, 236.87, 236.00, 236.12
07/30/86, 236.59, 237.34, 233.09, 236.59
07/29/86, 234.55, 235.93, 234.43, 234.55
07/28/86, 236.01, 240.13, 235.26, 236.01
07/25/86, 240.22, 240.34, 237.97, 240.22
07/24/86, 237.95, 238.95, 237.32, 237.95
07/23/86, 238.67, 239.17, 238.17, 238.67
07/22/86, 238.18, 238.31, 235.93, 238.18
07/21/86, 236.24, 236.22, 235.84, 236.24
07/18/86, 236.36, 238.11, 233.99, 236.36
07/17/86, 236.07, 236.57, 235.07, 236.07
07/16/86, 235.01, 236.13, 233.76, 235.01
07/15/86, 233.66, 238.03, 233.66, 233.66
07/14/86, 238.11, 242.11, 238.11, 238.11
07/11/86, 242.22, 243.47, 241.72, 242.22
07/10/86, 243.01, 243.38, 239.76, 243.01
07/09/86, 242.82, 243.07, 241.57, 242.82
07/08/86, 241.59, 241.59, 239.47, 241.59
07/07/86, 244.05, 251.80, 243.68, 244.05
07/03/86, 251.79, 252.91, 251.29, 251.79
07/02/86, 252.70, 253.20, 251.82, 252.70
07/01/86, 252.04, 252.04, 250.54, 252.04
06/30/86, 250.84, 251.72, 249.72, 250.84
06/27/86, 249.60, 249.72, 248.85, 249.60
06/26/86, 248.74, 249.37, 247.74, 248.74
06/25/86, 248.93, 250.06, 247.06, 248.93
06/24/86, 247.03, 248.16, 244.53, 247.03
06/23/86, 245.26, 247.51, 244.51, 245.26
06/20/86, 247.96, 247.56, 244.44, 247.96
06/19/86, 244.06, 245.69, 244.06, 244.06
06/18/86, 244.99, 245.24, 242.62, 244.99
06/17/86, 244.35, 246.22, 243.60, 244.35
06/16/86, 246.13, 246.38, 245.25, 246.13
06/13/86, 245.73, 245.85, 241.73, 245.73
06/12/86, 241.49, 241.62, 240.74, 241.49
06/11/86, 241.13, 241.13, 239.25, 241.13
06/10/86, 239.58, 240.08, 238.33, 239.58
06/09/86, 239.96, 245.59, 239.71, 239.96
06/06/86, 245.67, 246.04, 244.54, 245.67
06/05/86, 245.65, 245.65, 243.53, 245.65
06/04/86, 243.94, 246.19, 242.69, 243.94
06/03/86, 245.51, 245.51, 243.76, 245.51
06/02/86, 245.04, 247.66, 243.91, 245.04
05/30/86, 247.35, 249.10, 246.47, 247.35
05/29/86, 247.98, 248.23, 245.35, 247.98
05/28/86, 246.63, 247.38, 244.75, 246.63
05/27/86, 244.75, 244.75, 241.38, 244.75
05/23/86, 241.35, 242.10, 240.22, 241.35
