Date, Open, High, Low, Close
12/31/93, 466.45, 470.75, 466.45, 466.45
12/30/93, 468.64, 470.58, 468.09, 468.64
12/29/93, 470.58, 471.29, 469.87, 470.58
12/28/93, 470.94, 471.05, 469.43, 470.94
12/27/93, 470.54, 470.55, 467.35, 470.54
12/23/93, 467.38, 468.97, 467.30, 467.38
12/22/93, 467.32, 467.38, 465.08, 467.32
12/21/93, 465.30, 465.92, 464.03, 465.30
12/20/93, 465.85, 466.89, 465.53, 465.85
12/17/93, 466.38, 466.38, 463.34, 466.38
12/16/93, 463.34, 463.98, 461.84, 463.34
12/15/93, 461.84, 463.69, 461.84, 461.84
12/14/93, 463.06, 466.12, 462.46, 463.06
12/13/93, 465.70, 465.71, 462.71, 465.70
12/10/93, 463.93, 464.87, 462.66, 463.93
12/09/93, 464.18, 466.54, 463.87, 464.18
12/08/93, 466.29, 466.76, 465.42, 466.29
12/07/93, 466.76, 466.77, 465.44, 466.76
12/06/93, 466.43, 466.89, 464.40, 466.43
12/03/93, 464.89, 464.89, 462.67, 464.89
12/02/93, 463.11, 463.22, 461.45, 463.11
12/01/93, 461.89, 464.47, 461.63, 461.89
11/30/93, 461.79, 463.62, 460.45, 461.79
11/29/93, 461.90, 464.83, 461.83, 461.90
11/26/93, 463.06, 463.63, 462.36, 463.06
11/24/93, 462.36, 462.90, 461.03, 462.36
11/23/93, 461.03, 461.77, 458.47, 461.03
11/22/93, 459.13, 462.60, 457.08, 459.13
11/19/93, 462.60, 463.62, 460.03, 462.60
11/18/93, 463.62, 464.88, 461.73, 463.62
11/17/93, 464.81, 467.24, 462.73, 464.81
11/16/93, 466.74, 466.74, 462.98, 466.74
11/15/93, 463.75, 466.13, 462.96, 463.75
11/12/93, 465.39, 465.84, 462.64, 465.39
11/11/93, 462.64, 464.96, 462.49, 462.64
11/10/93, 463.72, 463.72, 459.57, 463.72
11/09/93, 460.33, 463.42, 460.21, 460.33
11/08/93, 460.21, 461.54, 458.78, 460.21
11/05/93, 459.57, 459.63, 454.36, 459.57
11/04/93, 457.49, 457.49, 457.49, 457.49
11/03/93, 463.02, 468.61, 460.95, 463.02
11/02/93, 468.44, 469.10, 466.20, 468.44
11/01/93, 469.10, 469.11, 467.33, 469.10
10/29/93, 467.83, 468.20, 467.37, 467.83
10/28/93, 467.73, 468.76, 464.52, 467.73
10/27/93, 464.61, 464.61, 463.36, 464.61
10/26/93, 464.30, 464.32, 462.65, 464.30
10/25/93, 464.20, 464.49, 462.05, 464.20
10/22/93, 463.27, 467.83, 463.27, 463.27
10/21/93, 465.36, 466.64, 464.38, 465.36
10/20/93, 466.07, 466.87, 464.54, 466.07
10/19/93, 466.21, 468.63, 464.80, 466.21
10/18/93, 468.45, 470.04, 468.02, 468.45
10/15/93, 469.50, 471.10, 466.83, 469.50
10/14/93, 466.83, 466.83, 461.49, 466.83
10/13/93, 461.49, 461.98, 460.76, 461.49
10/12/93, 461.12, 462.47, 460.73, 461.12
10/11/93, 460.88, 461.87, 460.31, 460.88
10/08/93, 460.31, 460.99, 456.40, 460.31
10/07/93, 459.18, 461.13, 459.08, 459.18
10/06/93, 460.74, 462.60, 460.26, 460.74
10/05/93, 461.20, 463.15, 459.45, 461.20
10/04/93, 461.34, 461.80, 460.02, 461.34
10/01/93, 461.29, 461.48, 458.35, 461.29
