Date, Open, High, Low, Close
12/31/02, 879.82, 881.83, 869.43, 879.82
12/30/02, 879.39, 882.03, 870.29, 879.39
12/27/02, 875.40, 890.42, 873.67, 875.40
12/26/02, 889.66, 903.77, 887.51, 889.66
12/24/02, 892.47, 897.38, 892.32, 892.47
12/23/02, 897.38, 902.42, 892.27, 897.38
12/20/02, 895.75, 897.75, 884.26, 895.75
12/19/02, 884.25, 899.12, 880.36, 884.25
12/18/02, 891.12, 902.99, 887.97, 891.12
12/17/02, 902.99, 911.06, 901.76, 902.99
12/16/02, 910.40, 910.43, 889.48, 910.40
12/13/02, 889.48, 901.58, 888.84, 889.48
12/12/02, 901.59, 908.32, 896.99, 901.59
12/11/02, 904.96, 909.89, 896.72, 904.96
12/10/02, 904.45, 904.94, 892.00, 904.45
12/09/02, 892.00, 912.23, 892.00, 892.00
12/06/02, 912.23, 915.20, 895.97, 912.23
12/05/02, 906.55, 921.54, 905.93, 906.55
12/04/02, 917.57, 925.28, 909.71, 917.57
12/03/02, 920.75, 934.53, 918.78, 920.75
12/02/02, 934.53, 954.32, 927.73, 934.53
11/29/02, 936.31, 941.76, 935.70, 936.31
11/27/02, 938.87, 940.42, 913.31, 938.87
11/26/02, 913.31, 932.87, 912.11, 913.31
11/25/02, 932.88, 937.07, 923.43, 932.88
11/22/02, 930.55, 937.27, 928.42, 930.55
11/21/02, 933.76, 935.13, 914.15, 933.76
11/20/02, 914.15, 914.99, 894.95, 914.15
11/19/02, 896.74, 905.36, 893.10, 896.74
11/18/02, 900.36, 915.91, 899.51, 900.36
11/15/02, 909.83, 910.18, 895.40, 909.83
11/14/02, 904.27, 904.27, 882.53, 904.27
11/13/02, 882.53, 892.32, 872.16, 882.53
11/12/02, 882.95, 894.24, 876.19, 882.95
11/11/02, 876.19, 894.74, 874.66, 876.19
11/08/02, 894.74, 910.10, 891.66, 894.74
11/07/02, 902.65, 923.76, 898.72, 902.65
11/06/02, 923.76, 925.67, 905.49, 923.76
11/05/02, 915.39, 915.82, 905.03, 915.39
11/04/02, 908.35, 924.55, 900.96, 908.35
11/01/02, 900.96, 903.26, 877.82, 900.96
10/31/02, 885.76, 898.58, 879.75, 885.76
10/30/02, 890.71, 895.09, 879.27, 890.71
10/29/02, 882.15, 890.59, 867.96, 882.15
10/28/02, 890.23, 907.51, 886.16, 890.23
10/25/02, 897.65, 897.65, 877.18, 897.65
10/24/02, 882.50, 902.88, 879.03, 882.50
10/23/02, 896.14, 896.14, 873.89, 896.14
10/22/02, 890.16, 899.72, 882.48, 890.16
10/21/02, 899.72, 900.67, 873.16, 899.72
10/18/02, 884.39, 886.47, 866.66, 884.39
10/17/02, 879.20, 885.30, 860.22, 879.20
10/16/02, 860.02, 881.27, 856.28, 860.02
10/15/02, 881.27, 881.27, 841.44, 881.27
10/14/02, 841.44, 844.44, 828.48, 841.44
10/11/02, 835.32, 843.10, 803.92, 835.32
10/10/02, 803.92, 806.48, 768.67, 803.92
10/09/02, 776.76, 798.55, 775.86, 776.76
10/08/02, 798.55, 808.79, 779.55, 798.55
10/07/02, 785.28, 808.18, 783.06, 785.28
10/04/02, 800.58, 825.86, 794.17, 800.58
10/03/02, 818.95, 839.76, 817.46, 818.95
10/02/02, 827.91, 851.91, 826.60, 827.91
10/01/02, 847.91, 847.93, 812.83, 847.91
09/30/02, 815.28, 827.37, 800.26, 815.28
09/27/02, 827.37, 854.95, 826.91, 827.37
09/26/02, 854.95, 856.59, 839.66, 854.95
09/25/02, 839.66, 843.92, 818.52, 839.66
09/24/02, 819.29, 833.77, 817.65, 819.29
09/23/02, 833.70, 845.39, 825.81, 833.70
09/20/02, 845.39, 849.35, 839.22, 845.39
09/19/02, 843.32, 869.46, 843.11, 843.32
