Date, Open, High, Low, Close
12/31/85, 211.28, 211.66, 210.78, 211.28
12/30/85, 210.68, 210.68, 209.18, 210.68
12/27/85, 209.61, 209.61, 207.74, 209.61
12/26/85, 207.65, 207.65, 207.15, 207.65
12/24/85, 207.14, 208.51, 206.51, 207.14
12/23/85, 208.57, 210.82, 208.44, 208.57
12/20/85, 210.94, 211.69, 210.06, 210.94
12/19/85, 210.02, 210.02, 209.27, 210.02
12/18/85, 209.81, 211.19, 209.31, 209.81
12/17/85, 210.65, 212.40, 210.65, 210.65
12/16/85, 212.02, 213.02, 210.02, 212.02
12/13/85, 209.94, 210.19, 206.81, 209.94
12/12/85, 206.73, 207.60, 205.85, 206.73
12/11/85, 206.31, 206.56, 204.19, 206.31
12/10/85, 204.39, 205.14, 203.76, 204.39
12/09/85, 204.25, 204.25, 203.00, 204.25
12/06/85, 202.99, 203.87, 202.49, 202.99
12/05/85, 203.88, 205.75, 203.88, 203.88
12/04/85, 204.23, 204.23, 200.98, 204.23
12/03/85, 200.86, 200.86, 200.11, 200.86
12/02/85, 200.46, 202.09, 200.21, 200.46
11/29/85, 202.17, 203.29, 201.92, 202.17
11/27/85, 202.54, 202.54, 200.79, 202.54
11/26/85, 200.67, 201.04, 200.17, 200.67
11/25/85, 200.35, 201.47, 200.10, 200.35
11/22/85, 201.52, 201.90, 201.15, 201.52
11/21/85, 201.41, 201.41, 199.03, 201.41
11/20/85, 198.99, 199.12, 198.62, 198.99
11/19/85, 198.67, 199.42, 198.04, 198.67
11/18/85, 198.71, 198.71, 197.59, 198.71
11/15/85, 198.11, 199.49, 197.99, 198.11
11/14/85, 199.06, 199.19, 196.94, 199.06
11/13/85, 197.10, 198.10, 196.97, 197.10
11/12/85, 198.08, 198.58, 197.08, 198.08
11/11/85, 197.28, 197.29, 193.79, 197.28
11/08/85, 193.72, 193.97, 192.59, 193.72
11/07/85, 192.62, 192.87, 192.25, 192.62
11/06/85, 192.76, 193.01, 191.88, 192.76
11/05/85, 192.37, 192.37, 191.00, 192.37
11/04/85, 191.25, 191.88, 190.75, 191.25
11/01/85, 191.53, 191.53, 189.41, 191.53
10/31/85, 189.82, 190.94, 189.44, 189.82
10/30/85, 190.07, 190.07, 189.19, 190.07
10/29/85, 189.23, 189.73, 187.85, 189.23
10/28/85, 187.76, 187.76, 187.01, 187.76
10/25/85, 187.52, 188.40, 187.40, 187.52
10/24/85, 188.50, 189.38, 188.50, 188.50
10/23/85, 189.09, 189.09, 188.09, 189.09
10/22/85, 188.04, 188.54, 187.04, 188.04
10/21/85, 186.96, 187.21, 186.84, 186.96
10/18/85, 187.04, 188.04, 186.91, 187.04
10/17/85, 187.66, 188.41, 187.53, 187.66
10/16/85, 187.98, 187.98, 186.10, 187.98
10/15/85, 186.08, 187.08, 185.71, 186.08
10/14/85, 186.37, 186.37, 184.37, 186.37
10/11/85, 184.28, 184.28, 182.66, 184.28
10/10/85, 182.78, 182.78, 182.16, 182.78
10/09/85, 182.52, 183.27, 181.90, 182.52
10/08/85, 181.87, 182.25, 181.25, 181.87
10/07/85, 181.87, 183.12, 181.37, 181.87
10/04/85, 183.22, 184.34, 182.72, 183.22
10/03/85, 184.36, 185.11, 183.61, 184.36
10/02/85, 184.06, 185.94, 184.06, 184.06
10/01/85, 185.07, 185.07, 182.07, 185.07
09/30/85, 182.08, 182.08, 181.33, 182.08
09/26/85, 181.29, 181.29, 179.54, 181.29
09/25/85, 180.66, 182.53, 180.66, 180.66
09/24/85, 182.62, 184.25, 182.50, 182.62
09/23/85, 184.30, 184.55, 182.05, 184.30
09/20/85, 182.05, 183.93, 182.05, 182.05
09/19/85, 183.39, 183.39, 181.76, 183.39
09/18/85, 181.71, 181.71, 180.84, 181.71
09/17/85, 181.36, 182.86, 180.86, 181.36
09/16/85, 182.88, 182.88, 182.50, 182.88
09/13/85, 182.91, 184.16, 182.16, 182.91
09/12/85, 183.69, 185.19, 183.56, 183.69
09/11/85, 185.03, 186.78, 184.91, 185.03
09/10/85, 186.90, 188.15, 186.53, 186.90
09/09/85, 188.25, 188.75, 188.00, 188.25
09/06/85, 188.24, 188.37, 187.37, 188.24
09/05/85, 187.27, 187.52, 186.90, 187.27
09/04/85, 187.37, 187.87, 187.00, 187.37
09/03/85, 187.91, 188.53, 187.41, 187.91
08/30/85, 188.63, 189.13, 188.00, 188.63
08/29/85, 188.93, 188.93, 188.43, 188.93
08/28/85, 188.83, 188.83, 187.96, 188.83
08/27/85, 188.10, 188.10, 187.35, 188.10
08/26/85, 187.31, 187.44, 186.56, 187.31
08/23/85, 187.17, 187.29, 186.67, 187.17
08/22/85, 187.36, 189.11, 187.24, 187.36
08/21/85, 189.16, 189.16, 188.16, 189.16
08/20/85, 188.08, 188.21, 186.46, 188.08
08/19/85, 186.38, 186.64, 186.39, 186.38
08/16/85, 186.10, 186.10, 186.10, 186.10
08/15/85, 187.26, 187.63, 186.63, 187.26
08/14/85, 187.41, 187.78, 187.41, 187.41
08/13/85, 187.30, 188.05, 186.55, 187.30
08/12/85, 187.63, 188.25, 187.50, 187.63
08/09/85, 188.32, 188.94, 188.19, 188.32
08/08/85, 188.95, 188.95, 187.70, 188.95
08/07/85, 187.68, 187.93, 187.43, 187.68
08/06/85, 187.93, 190.68, 187.93, 187.93
08/05/85, 190.62, 191.37, 190.00, 190.62
08/02/85, 191.48, 192.10, 191.35, 191.48
08/01/85, 192.11, 192.11, 190.99, 192.11
07/31/85, 190.92, 191.29, 190.04, 190.92
07/30/85, 189.93, 189.93, 189.31, 189.93
07/29/85, 189.60, 192.35, 189.60, 189.60
07/26/85, 192.40, 192.78, 191.65, 192.40
07/25/85, 192.06, 192.19, 191.19, 192.06
07/24/85, 191.58, 192.46, 190.71, 191.58
07/23/85, 192.55, 194.93, 192.30, 192.55
07/22/85, 194.35, 194.35, 193.60, 194.35
07/19/85, 195.13, 195.13, 194.38, 195.13
07/18/85, 194.38, 195.63, 194.38, 194.38
07/17/85, 195.65, 196.03, 194.78, 195.65
07/16/85, 194.72, 194.72, 192.72, 194.72
07/15/85, 192.72, 193.72, 192.59, 192.72
07/12/85, 193.29, 193.29, 192.67, 193.29
07/11/85, 192.94, 192.94, 192.31, 192.94
07/10/85, 192.37, 192.37, 191.00, 192.37
07/09/85, 191.05, 191.93, 190.93, 191.05
07/08/85, 191.93, 192.43, 191.31, 191.93
07/05/85, 192.52, 192.65, 191.52, 192.52
07/03/85, 191.45, 191.95, 191.45, 191.45
07/02/85, 192.01, 192.51, 191.89, 192.01
07/01/85, 192.43, 192.43, 191.18, 192.43
06/28/85, 191.85, 191.85, 191.10, 191.85
06/27/85, 191.23, 191.36, 190.11, 191.23
06/26/85, 190.06, 190.19, 189.56, 190.06
06/25/85, 189.74, 190.87, 189.24, 189.74
06/24/85, 189.15, 189.53, 187.90, 189.15
06/21/85, 189.61, 189.61, 186.49, 189.61
06/20/85, 186.73, 186.73, 185.98, 186.73
06/19/85, 186.63, 187.88, 186.63, 186.63
06/18/85, 187.34, 187.59, 186.59, 187.34
06/17/85, 186.53, 187.03, 186.03, 186.53
06/14/85, 187.10, 187.10, 185.35, 187.10
06/13/85, 185.33, 187.58, 185.08, 185.33
06/12/85, 187.61, 188.99, 187.61, 187.61
06/11/85, 189.04, 189.54, 188.79, 189.04
06/10/85, 189.51, 189.64, 188.89, 189.51
06/07/85, 189.68, 191.18, 189.56, 189.68
06/06/85, 191.06, 191.06, 189.19, 191.06
06/05/85, 190.16, 190.91, 190.16, 190.16
06/04/85, 190.04, 190.17, 188.92, 190.04
06/03/85, 189.32, 190.32, 188.94, 189.32
05/31/85, 189.55, 189.55, 187.55, 189.55
05/30/85, 187.75, 188.00, 187.13, 187.75
05/29/85, 187.68, 187.81, 187.18, 187.68
05/28/85, 187.86, 188.86, 187.49, 187.86
05/24/85, 188.29, 188.29, 187.29, 188.29
05/23/85, 187.60, 188.47, 187.47, 187.60
05/22/85, 188.56, 189.56, 187.81, 188.56
05/21/85, 189.64, 189.77, 188.89, 189.64
05/20/85, 189.72, 189.97, 187.47, 189.72
05/17/85, 187.42, 187.92, 185.55, 187.42
05/16/85, 185.66, 185.66, 184.66, 185.66
05/15/85, 184.54, 185.42, 183.92, 184.54
05/14/85, 183.87, 185.12, 183.75, 183.87
05/13/85, 184.61, 184.61, 184.24, 184.61
05/10/85, 184.28, 184.66, 182.03, 184.28
05/09/85, 181.92, 181.92, 180.67, 181.92
05/08/85, 180.62, 180.75, 180.00, 180.62
05/07/85, 180.76, 181.14, 179.89, 180.76
05/06/85, 179.99, 180.49, 179.87, 179.99
05/03/85, 180.08, 180.21, 179.08, 180.08
05/02/85, 179.01, 179.01, 178.39, 179.01
05/01/85, 178.37, 180.58, 178.96, 178.37
04/30/85, 179.83, 180.58, 178.96, 179.83
04/29/85, 180.63, 182.25, 180.63, 180.63
04/26/85, 182.18, 183.56, 182.18, 182.18
04/25/85, 183.43, 183.56, 182.18, 183.43
04/24/85, 182.26, 182.26, 181.76, 182.26
04/23/85, 181.88, 181.88, 180.38, 181.88
