Date, Open, High, Low, Close
12/29/00, 1320.28, 1340.10, 1317.51, 1320.28
12/28/00, 1334.22, 1335.93, 1325.78, 1334.22
12/27/00, 1328.92, 1332.03, 1310.96, 1328.92
12/26/00, 1315.19, 1315.94, 1301.64, 1315.19
12/22/00, 1305.97, 1305.97, 1274.86, 1305.97
12/21/00, 1274.86, 1285.31, 1254.07, 1274.86
12/20/00, 1264.74, 1305.60, 1261.16, 1264.74
12/19/00, 1305.60, 1346.44, 1305.20, 1305.60
12/18/00, 1322.74, 1332.32, 1312.15, 1322.74
12/15/00, 1312.15, 1340.93, 1305.38, 1312.15
12/14/00, 1340.93, 1359.99, 1340.48, 1340.93
12/13/00, 1359.99, 1385.82, 1358.48, 1359.99
12/12/00, 1371.18, 1380.27, 1370.27, 1371.18
12/11/00, 1380.20, 1389.05, 1364.14, 1380.20
12/08/00, 1369.89, 1380.33, 1343.55, 1369.89
12/07/00, 1343.55, 1353.50, 1339.26, 1343.55
12/06/00, 1351.46, 1376.54, 1346.15, 1351.46
12/05/00, 1376.54, 1376.56, 1324.97, 1376.54
12/04/00, 1324.97, 1332.06, 1310.23, 1324.97
12/01/00, 1315.23, 1334.67, 1307.02, 1315.23
11/30/00, 1314.95, 1341.91, 1294.90, 1314.95
11/29/00, 1341.91, 1352.38, 1329.28, 1341.91
11/28/00, 1336.09, 1358.81, 1334.97, 1336.09
11/27/00, 1348.97, 1362.50, 1341.77, 1348.97
11/24/00, 1341.77, 1343.83, 1322.36, 1341.77
11/22/00, 1322.36, 1347.35, 1321.89, 1322.36
11/21/00, 1347.35, 1355.87, 1333.62, 1347.35
11/20/00, 1342.62, 1367.72, 1341.67, 1342.62
11/17/00, 1367.72, 1384.85, 1355.55, 1367.72
11/16/00, 1372.32, 1394.68, 1370.40, 1372.32
11/15/00, 1389.81, 1395.96, 1374.75, 1389.81
11/14/00, 1382.95, 1390.06, 1351.26, 1382.95
11/13/00, 1351.26, 1365.98, 1328.62, 1351.26
11/10/00, 1365.98, 1400.14, 1365.97, 1365.98
11/09/00, 1400.14, 1409.28, 1369.68, 1400.14
11/08/00, 1409.28, 1437.28, 1408.78, 1409.28
11/07/00, 1431.87, 1436.22, 1423.26, 1431.87
11/06/00, 1432.19, 1438.46, 1427.72, 1432.19
11/03/00, 1426.69, 1433.21, 1420.92, 1426.69
11/02/00, 1428.32, 1433.27, 1421.13, 1428.32
11/01/00, 1421.22, 1429.60, 1410.45, 1421.22
10/31/00, 1429.40, 1432.22, 1398.66, 1429.40
10/30/00, 1398.66, 1406.36, 1376.86, 1398.66
10/27/00, 1379.58, 1384.57, 1364.13, 1379.58
10/26/00, 1364.44, 1372.72, 1337.77, 1364.44
10/25/00, 1364.90, 1398.13, 1362.21, 1364.90
10/24/00, 1398.13, 1415.64, 1388.13, 1398.13
10/23/00, 1395.78, 1406.96, 1387.75, 1395.78
10/20/00, 1396.93, 1408.47, 1382.19, 1396.93
10/19/00, 1388.76, 1389.93, 1342.13, 1388.76
10/18/00, 1342.13, 1356.65, 1305.79, 1342.13
10/17/00, 1349.97, 1380.99, 1342.34, 1349.97
10/16/00, 1374.62, 1379.48, 1365.06, 1374.62
10/13/00, 1374.17, 1374.17, 1326.81, 1374.17
10/12/00, 1329.78, 1374.93, 1329.06, 1329.78
10/11/00, 1364.59, 1387.02, 1349.67, 1364.59
10/10/00, 1387.02, 1408.83, 1383.85, 1387.02
10/09/00, 1402.03, 1409.69, 1392.48, 1402.03
10/06/00, 1408.99, 1443.30, 1397.06, 1408.99
10/05/00, 1436.28, 1444.17, 1431.80, 1436.28
10/04/00, 1434.32, 1439.99, 1416.31, 1434.32
10/03/00, 1426.46, 1454.82, 1425.28, 1426.46
10/02/00, 1436.23, 1445.51, 1429.75, 1436.23
09/29/00, 1436.51, 1458.29, 1436.48, 1436.51
09/28/00, 1458.29, 1461.65, 1425.79, 1458.29
09/27/00, 1426.57, 1436.74, 1419.54, 1426.57
09/26/00, 1427.21, 1447.74, 1425.29, 1427.21
09/25/00, 1439.03, 1457.36, 1436.08, 1439.03
09/22/00, 1448.72, 1449.41, 1421.88, 1448.72
09/21/00, 1449.05, 1452.90, 1436.19, 1449.05
09/20/00, 1451.34, 1460.73, 1430.95, 1451.34
09/19/00, 1459.90, 1461.05, 1444.51, 1459.90
09/18/00, 1444.51, 1467.88, 1441.76, 1444.51
09/15/00, 1465.81, 1480.87, 1460.54, 1465.81
09/14/00, 1480.87, 1494.27, 1476.77, 1480.87
09/13/00, 1484.91, 1487.36, 1474.03, 1484.91
09/12/00, 1481.99, 1496.60, 1479.93, 1481.99
09/11/00, 1489.26, 1506.59, 1483.03, 1489.26
09/08/00, 1494.50, 1502.51, 1489.93, 1494.50
09/07/00, 1502.51, 1505.23, 1492.25, 1502.51
09/06/00, 1492.25, 1512.37, 1492.19, 1492.25
09/05/00, 1507.08, 1520.77, 1504.21, 1507.08
