Date, Open, High, Low, Close
12/31/97, 970.43, 975.02, 967.41, 970.43
12/30/97, 970.84, 970.84, 953.35, 970.84
12/29/97, 953.35, 953.95, 936.46, 953.35
12/26/97, 936.46, 939.99, 932.70, 936.46
12/24/97, 932.70, 942.88, 932.70, 932.70
12/23/97, 939.13, 954.51, 938.91, 939.13
12/22/97, 953.70, 956.73, 946.25, 953.70
12/19/97, 946.78, 955.30, 924.92, 946.78
12/18/97, 955.30, 965.54, 950.55, 955.30
12/17/97, 965.54, 974.30, 964.25, 965.54
12/16/97, 968.04, 973.00, 963.39, 968.04
12/15/97, 963.39, 965.96, 953.39, 963.39
12/12/97, 953.39, 961.32, 947.00, 953.39
12/11/97, 954.94, 969.79, 951.89, 954.94
12/10/97, 969.79, 975.78, 962.68, 969.79
12/09/97, 975.78, 982.37, 973.81, 975.78
12/08/97, 982.37, 985.67, 979.57, 982.37
12/05/97, 983.79, 986.25, 969.10, 983.79
12/04/97, 973.10, 983.36, 971.37, 973.10
12/03/97, 976.77, 980.81, 966.16, 976.77
12/02/97, 971.68, 976.20, 969.83, 971.68
12/01/97, 974.78, 974.77, 955.40, 974.78
11/28/97, 955.40, 959.13, 951.64, 955.40
11/26/97, 951.64, 956.47, 950.82, 951.64
11/25/97, 950.82, 954.47, 944.71, 950.82
11/24/97, 946.67, 963.09, 945.22, 946.67
11/21/97, 963.09, 964.55, 954.60, 963.09
11/20/97, 958.98, 961.83, 944.59, 958.98
11/19/97, 944.59, 947.28, 934.83, 944.59
11/18/97, 938.23, 947.65, 937.43, 938.23
11/17/97, 946.20, 949.66, 928.35, 946.20
11/14/97, 928.35, 930.44, 915.34, 928.35
11/13/97, 916.66, 917.79, 900.61, 916.66
11/12/97, 905.96, 923.88, 905.34, 905.96
11/11/97, 923.78, 928.29, 919.63, 923.78
11/10/97, 921.13, 935.90, 920.26, 921.13
11/07/97, 927.51, 938.03, 915.39, 927.51
11/06/97, 938.03, 942.85, 934.16, 938.03
11/05/97, 942.76, 949.62, 938.16, 942.76
11/04/97, 940.76, 941.40, 932.66, 940.76
11/03/97, 938.99, 939.02, 914.62, 938.99
10/31/97, 914.62, 919.93, 903.68, 914.62
10/30/97, 903.68, 923.28, 903.68, 903.68
10/29/97, 919.16, 935.24, 913.88, 919.16
10/28/97, 921.85, 923.09, 855.27, 921.85
10/27/97, 876.99, 941.64, 876.73, 876.99
10/24/97, 941.64, 960.04, 937.55, 941.64
10/23/97, 950.69, 968.49, 944.16, 950.69
10/22/97, 968.49, 972.61, 965.66, 968.49
10/21/97, 972.28, 972.56, 955.61, 972.28
10/20/97, 955.61, 955.72, 941.43, 955.61
10/17/97, 944.16, 955.23, 931.58, 944.16
10/16/97, 955.23, 973.38, 950.77, 955.23
10/15/97, 965.72, 970.28, 962.75, 965.72
10/14/97, 970.28, 972.86, 961.87, 970.28
10/13/97, 968.10, 973.46, 966.95, 968.10
10/10/97, 966.98, 970.62, 963.42, 966.98
10/09/97, 970.62, 974.72, 963.34, 970.62
10/08/97, 973.84, 983.12, 968.65, 973.84
10/07/97, 983.12, 983.12, 971.95, 983.12
10/06/97, 972.69, 974.16, 965.03, 972.69
10/03/97, 965.03, 975.47, 955.13, 965.03
10/02/97, 960.46, 960.46, 952.94, 960.46
10/01/97, 955.41, 956.71, 947.28, 955.41
09/30/97, 947.28, 955.17, 947.28, 947.28
09/29/97, 953.34, 953.96, 941.94, 953.34
09/26/97, 945.22, 946.44, 937.91, 945.22
09/25/97, 937.91, 947.00, 937.38, 937.91
09/24/97, 944.48, 959.78, 944.07, 944.48
09/23/97, 951.93, 955.78, 948.07, 951.93
09/22/97, 955.43, 960.59, 950.51, 955.43
09/19/97, 950.51, 952.35, 943.90, 950.51
09/18/97, 947.29, 958.19, 943.00, 947.29
09/17/97, 943.00, 950.29, 941.99, 943.00
09/16/97, 945.64, 947.66, 919.77, 945.64
09/15/97, 919.77, 928.90, 919.41, 919.77
09/12/97, 923.91, 925.05, 906.70, 923.91
09/11/97, 912.59, 919.03, 902.56, 912.59
09/10/97, 919.03, 933.62, 918.76, 919.03
09/09/97, 933.62, 938.90, 927.28, 933.62
09/08/97, 931.20, 936.50, 929.05, 931.20
09/05/97, 929.05, 940.37, 924.05, 929.05
09/04/97, 930.87, 933.36, 925.59, 930.87
09/03/97, 927.86, 935.90, 926.87, 927.86
09/02/97, 927.58, 927.58, 899.47, 927.58
08/29/97, 899.47, 907.28, 896.82, 899.47
08/28/97, 903.67, 915.90, 898.65, 903.67
08/27/97, 913.70, 916.23, 903.83, 913.70
08/26/97, 913.02, 922.47, 911.72, 913.02
08/25/97, 920.16, 930.93, 917.29, 920.16
08/22/97, 923.55, 925.05, 905.42, 923.55
08/21/97, 925.05, 939.47, 921.35, 925.05
08/20/97, 939.35, 939.35, 924.58, 939.35
08/19/97, 926.01, 926.01, 912.49, 926.01
08/18/97, 912.49, 912.57, 893.34, 912.49
08/15/97, 900.81, 924.77, 900.81, 900.81
08/14/97, 924.77, 930.07, 916.92, 924.77
08/13/97, 922.02, 935.77, 916.54, 922.02
08/12/97, 926.53, 942.99, 925.66, 926.53
08/11/97, 937.00, 938.50, 925.39, 937.00
08/08/97, 933.54, 951.19, 925.74, 933.54
08/07/97, 951.19, 964.17, 950.87, 951.19
08/06/97, 960.32, 962.43, 949.45, 960.32
08/05/97, 952.37, 954.21, 948.92, 952.37
08/04/97, 950.30, 953.18, 943.60, 950.30
08/01/97, 947.14, 955.35, 939.04, 947.14
07/31/97, 954.29, 957.73, 948.89, 954.29
07/30/97, 952.29, 953.98, 941.98, 952.29
07/29/97, 942.29, 942.96, 932.56, 942.29
07/28/97, 936.45, 942.97, 935.19, 936.45
07/25/97, 938.79, 945.65, 936.09, 938.79
07/24/97, 940.30, 941.51, 926.91, 940.30
07/23/97, 936.56, 941.80, 933.98, 936.56
07/22/97, 933.98, 934.38, 912.94, 933.98
07/21/97, 912.94, 915.38, 907.12, 912.94
07/18/97, 915.30, 931.61, 912.90, 915.30
07/17/97, 931.61, 936.96, 927.90, 931.61
07/16/97, 936.59, 939.32, 925.76, 936.59
07/15/97, 925.76, 926.15, 914.52, 925.76
07/14/97, 918.38, 921.78, 912.02, 918.38
07/11/97, 916.68, 919.74, 913.11, 916.68
07/10/97, 913.78, 916.54, 904.31, 913.78
07/09/97, 907.54, 922.03, 902.48, 907.54
07/08/97, 918.75, 918.76, 911.56, 918.75
07/07/97, 912.20, 923.26, 909.69, 912.20
07/03/97, 916.92, 917.82, 904.03, 916.92
07/02/97, 904.03, 904.05, 891.03, 904.03
07/01/97, 891.03, 893.88, 884.54, 891.03
06/30/97, 885.14, 892.62, 879.82, 885.14
06/27/97, 887.30, 894.70, 883.68, 887.30
06/26/97, 883.68, 893.21, 879.32, 883.68
06/25/97, 888.99, 902.09, 882.24, 888.99
06/24/97, 896.34, 896.75, 878.62, 896.34
06/23/97, 878.62, 898.70, 878.43, 878.62
06/20/97, 898.70, 901.77, 897.77, 898.70
06/19/97, 897.99, 900.09, 888.99, 897.99
06/18/97, 889.06, 894.42, 887.03, 889.06
06/17/97, 894.42, 897.60, 886.19, 894.42
06/16/97, 893.90, 895.17, 891.21, 893.90
06/13/97, 893.27, 894.69, 883.48, 893.27
06/12/97, 883.48, 884.34, 869.01, 883.48
06/11/97, 869.57, 870.66, 865.15, 869.57
06/10/97, 865.27, 870.05, 862.18, 865.27
